id,kind,name,provider_or_lab,output_type,artifact_status,license_or_terms,control_level,lip,expression,head_pose,gaze,nod_or_listener,official_performance_summary,public_price_summary,last_verified,next_review,evidence,decision,primary_url
tavus-cvi,commercial,Tavus CVI/PAL,Tavus,generative-video,hosted-api,commercial-terms,L1-semantic,yes,emotion-tags,autonomous,autonomous,autonomous-camera-aware,"vendor: 1080p 40fps and sub-500/500-600ms claims","$22/60m; $59/175m; $397/1300m; $975/4000m; first 30s then 6s rounding",2026-08-25,2026-09-25,B/V,buy-baseline-and-blind-test,https://www.tavus.io/pricing
heygen-liveavatar,commercial,HeyGen LiveAvatar,HeyGen,generative-video,hosted-api,commercial-terms,L0-autonomous,yes,training-derived,autonomous,autonomous,no-dynamic-gesture-api,"WebRTC 720p/1080p; exact fps/latency undisclosed","Full $0.20/m; Lite $0.10/m; plan concurrency 1-40",2026-08-25,2026-09-25,B/O,buy-cost-reliability-baseline,https://help.heygen.com/en/articles/12758866-liveavatar-faq
perso-interactive,commercial,PERSO Interactive,ESTsoft,generative-video,hosted-websdk-and-station,commercial-terms-contract-review,L0-websdk,yes,autonomous,autonomous,undisclosed,station-vlm-claim,"Station vendor <0.5s; WebSDK fps/latency undisclosed","$0.20/credit; Interactive 1 credit/min",2026-08-25,2026-09-25,C/V,korean-market-test-and-vendor-questions,https://platform.perso.ai/services/pricing/
did-v4,commercial,D-ID V4 Visual Agents,D-ID,generative-video,hosted-api,commercial-terms,L1-semantic,yes,autonomous-sentiment,autonomous,optional-eyesight,autonomous,"vendor E2E <500ms; core <120ms; stream fps undisclosed","annual display: $14.40/32m; $35/90m; $138.60/400m",2026-08-25,2026-09-25,C/V,camera-aware-buy-baseline,https://www.d-id.com/v4-expressive-visual-avatars-tech-specs/
beyond-presence,commercial,Beyond Presence,Beyond Presence,generative-video,hosted-s2v-or-managed,commercial-terms,L1-semantic,yes,controllable-emotion-tier,autonomous,autonomous,managed-webcam,"vendor 1080p 35fps; layer-dependent 100-1200ms","€49/280 S2V or 140 managed; €349/4000 or 2000",2026-08-25,2026-09-25,C/V,modular-cost-baseline,https://www.beyondpresence.ai/pricing
anam-cara4,commercial,Anam Cara-4,Anam,generative-video,hosted-api,commercial-terms,L1-prompt,yes,director-notes,autonomous,autonomous,no-native-camera,"vendor 25fps; generation 150ms; EOT to frame median <1s","$12/50m; $49/250m; $299/2000m; $999/5000m",2026-08-25,2026-09-25,C/V,external-perception-buy-baseline,https://anam.ai/pricing
nvidia-ace,commercial,NVIDIA ACE Audio2Face-3D,NVIDIA,3d-animation,self-hosted-nim,enterprise-license-plus-model-terms,L2-event,yes,emotion-weights,animation-state,animation-state,nod-events,"official 30fps; example average ~42ms; L4 16 diffusion streams","NVIDIA AI Enterprise from $4500/GPU/year plus infra",2026-08-25,2026-09-25,B/O,3d-explicit-control-baseline,https://developer.nvidia.com/ace
klever-one,commercial,KLEVER ONE,Metabuild,3d-animation,commercial-sdk,contract-review,L2-3d-sdk,yes,gesture-expression,kinematic,kinematic,gesture,"fps latency hardware undisclosed","price undisclosed",2026-08-25,2026-11-25,C/V,adjacent-3d-benchmark,https://www.metabuild.co.kr/klever/one
ditto,opensource,Ditto,Ant Group,generative-portrait,code-weights-training,Apache-2.0,L2-code-adapter,yes,motion-delta,delta-yaw-pitch-roll,internal-motion,via-pitch-plus-policy,"paper 1xA100 512px FFD 385ms RTF 0.895; VRAM undisclosed","self-host GPU; no token fee",2026-08-25,2026-09-25,B/O+P,priority-controlled-spike,https://github.com/antgroup/ditto-talkinghead
musetalk15,opensource,MuseTalk 1.5,Tencent Music,generative-mouth-inpaint,code-weights-training,MIT-plus-dependencies,L0-mouth,yes,no,input-preserved,no,no,"official V100 30fps+ face region 256px; local RTX5090 trace ~21.4fps","self-host GPU; no token fee",2026-08-25,2026-09-25,A/L+B/O,product-mouth-bridge,https://github.com/TMElyralab/MuseTalk
liveportrait,opensource,LivePortrait,Kuaishou,generative-portrait-motion,code-weights,MIT-core-insightface-model-noncommercial,L2-motion,driving,direct-or-driving,direct-or-driving,implicit-driving,via-pitch,"paper RTX4090 12.8ms/frame 512px; VRAM undisclosed","self-host GPU; replace detector for commercial",2026-08-25,2026-09-25,B/O+P,named-motion-bank-and-control-layer,https://github.com/KlingAIResearch/LivePortrait
artalk,opensource,ARTalk,Academic,flame-motion,code-and-model,MIT-core-FLAME-separate,L2-motion,flame-jaw,flame-expression,flame-global-pose,no,implicit,"paper 1s motion in 0.01s on A100; renderer excluded","self-host CPU/GPU plus renderer",2026-08-25,2026-11-25,B/O+P,motion-teacher-watch,https://github.com/xg-chu/ARTalk
lipforcing,opensource,Lip Forcing,KAIST,generative-lower-face,code-training-14b-weight,Apache-2.0,L0-mouth,yes,input-preserved,input-preserved,input-preserved,no,"paper H100 1.3B 31.58fps 8.78GB but weight unavailable; public 14B 15.11fps 40.63GB","self-host H100/H200 class currently",2026-08-25,2026-09-08,B/O+P,watch-1.3b-weight-release,https://github.com/cvlab-kaist/LipForcing
real3dportrait,opensource,Real3D-Portrait,Academic,3d-aware-portrait,code-weights,MIT,L1-internal,yes,3dmm,pose-conditioned,limited,implicit,"official service fps latency VRAM undisclosed","self-host GPU",2026-08-25,2026-11-25,B/O,offline-research-watch,https://github.com/yerfor/Real3DPortrait
maai,opensource,MaAI,MaAI Kyoto,behavior-policy,code-models,MIT,L2-event,n/a,n/a,n/a,n/a,turn-backchannel-nod,"CPU lightweight claim; exact latest Korean support and endpoint test needed","self-host CPU",2026-08-25,2026-09-25,B/O+P,optional-behavior-policy-spike,https://github.com/MaAI-Kyoto/MaAI
mediapipe,opensource,MediaPipe Face Landmarker,Google,user-perception,code-model,Apache-2.0,L2-observation,n/a,blendshape,transform-matrix,gaze-proxy,n/a,"official output 3D landmarks blendshapes transform; fps undisclosed","browser/device compute",2026-08-25,2026-11-25,B/O,adopt-derived-feature-path,https://ai.google.dev/edge/mediapipe/solutions/vision/face_landmarker
avatarforcing,research,Avatar Forcing,KAIST-NTU-DeepAuto,generative-dyadic-avatar,minimal-offline-code-weight,CC-BY-NC-4.0,L1-reactive,yes,reactive,reactive,reactive,reactive-nod-laughter,"paper 1xH100 10 NFE 0.5s motion generation with pre-extracted audio features","research only",2026-08-25,2026-11-25,B/O+P,north-star-not-product,https://github.com/TaekyungKi/AvatarForcing
empaava,research,EmpaAva,NUS-Tsinghua-Oxford,3d-flame-gaussian,full-system-code-mixed,Apache-authored-plus-NC-research-dependencies,L2-3d,yes,flame,flame,limited,policy-architecture,"official H200 warm turn 45.8s with 41.5s render/export; ~140GB disk","research hardware and noncommercial stack",2026-08-25,2026-11-25,B/O+P,architecture-reference-only,https://github.com/1114531938/EmpaAva_System
float,research,FLOAT,DeepBrain AI,generative-portrait,inference-weight,noncommercial-license-inconsistent,L1-latent,yes,7-emotions,latent-pose,no,implicit,"paper V100 NFE10 41.37fps clip-based; TTFF VRAM undisclosed","research only",2026-08-25,2026-11-25,B/O+P,emotion-control-reference,https://github.com/deepbrainai-research/float
personalive,research,PersonaLive,GVCLab,generative-video-stream,code-weights,Apache-repo-plus-academic-only-disclaimer,L1-driving,driving,driving,driving,driving,driving,"paper 1xH100 15.82fps; TinyVAE 20fps; 12GB long stream","research; commercial clarification",2026-08-25,2026-11-25,B/O+P,watch-consumer-realtime,https://github.com/GVCLab/PersonaLive
